,idx_2004,No_2004,Type_2004,State_2004,Winning Candidate_2004,Party_2004,Electors_2004,Votes_2004,Turnout_2004,Margin_2004,Margin %_2004,idx_2009,No_2009,Type_2009,State_2009,Winning Candidate_2009,Party_2009,Electors_2009,Votes_2009,Turnout_2009,Margin_2009,Margin %_2009,idx,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,idx_2019,No_2019,Type_2019,State_2019,Winning Candidate_2019,Party_2019,Electors_2019,Votes_2019,Turnout_2019,Margin_2019,Margin %_2019,idx_2024,No_2024,Type_2024,State_2024,Winning Candidate_2024,Party_2024,Electors_2024,Votes_2024,Turnout_2024,Margin_2024,Margin %_2024
Thanjavur,511.0,31.0,GEN,Tamil Nadu,Palanimanickam. S. S.,Dravida Munetra Kazhagam,"10,30,779","7,06,888",68.6 %,"1,19,148",16.9%,500.0,30.0,GEN,Tamil Nadu,Palanimanickam.S.S,Dravida Munetra Kazhagam,1054118.0,808675.0,76.7 %,101787.0,12.6%,500.0,30.0,GEN,Tamil Nadu,Parasuraman.K,All India Anna Dravida Munnetra Kazhagam,1340050.0,1012258.0,75.5 %,144119.0,14.2%,499.0,30.0,GEN,Tamil Nadu,"Palanimanickam,s.S.",Dravida Munetra Kazhagam,"14,43,417","10,59,223",74.4 %,"3,68,129",34.8%,500.0,30.0,GEN,Tamil Nadu,Murasoli S,Dravida Munnetra Kazhagam,"15,01,226","10,28,706",68.5 %,"3,19,583",31.1%
Theni,,,,,,,,,,,,501.0,33.0,GEN,Tamil Nadu,Aaron Rashid.J.M,Indian National Congress,1074931.0,800576.0,74.5 %,6302.0,0.8%,501.0,33.0,GEN,Tamil Nadu,Parthipan R.,All India Anna Dravida Munnetra Kazhagam,1441302.0,1075583.0,74.6 %,314532.0,29.2%,500.0,33.0,GEN,Tamil Nadu,"Raveendranath Kumar, P",All India Anna Dravida Munnetra Kazhagam,"18,00,597","11,73,489",65.8 %,"76,693",6.5%,501.0,33.0,GEN,Tamil Nadu,Thanga Tamilselvan,Dravida Munnetra Kazhagam,"16,22,949","11,41,219",70.3 %,"2,78,825",24.4%
Thiruvallur,,,,,,,,,,,,502.0,1.0,SC,Tamil Nadu,Venugopal.P,All India Anna Dravida Munnetra Kazhagam,1204209.0,850021.0,70.6 %,31673.0,3.7%,502.0,1.0,SC,Tamil Nadu,Venugopal.P.(DR),All India Anna Dravida Munnetra Kazhagam,1702833.0,1254440.0,73.7 %,323430.0,25.8%,501.0,1.0,SC,Tamil Nadu,Dr.K.Jayakumar,Indian National Congress,"18,82,738","14,08,189",75.8 %,"3,56,955",25.3%,502.0,1.0,SC,Tamil Nadu,Sasikanth Senthil,Indian National Congress,"20,85,991","14,17,812",68.0 %,"5,72,155",40.4%
Thoothukkudi,,,,,,,,,,,,504.0,36.0,GEN,Tamil Nadu,Jeyadurai.S.R,Dravida Munetra Kazhagam,949153.0,656365.0,69.2 %,76649.0,11.7%,504.0,36.0,GEN,Tamil Nadu,Jeyasingh Thiyagaraj Natterjee.J,All India Anna Dravida Munnetra Kazhagam,1310597.0,916778.0,70.0 %,124002.0,13.5%,503.0,36.0,GEN,Tamil Nadu,Kanimozhi Karunanidhi,Dravida Munetra Kazhagam,"14,02,826","9,91,263",71.3 %,"3,47,209",35.0%,504.0,36.0,GEN,Tamil Nadu,Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,"14,58,430","9,78,526",67.1 %,"3,92,738",40.1%
Thrissur,,,,,,,,,,,,505.0,10.0,GEN,Kerala,P C Chacko,Indian National Congress,1174161.0,817245.0,69.6 %,25151.0,3.1%,505.0,10.0,GEN,Kerala,C. N. Jayadevan,Communist Party Of India,1275288.0,920505.0,72.2 %,38227.0,4.2%,504.0,10.0,GEN,Kerala,T. N. Prathapan,Indian National Congress,"12,68,671","10,41,869",82.5 %,"93,633",9.0%,505.0,10.0,GEN,Kerala,Suresh Gopi,Bharatiya Janta Party,"14,83,055","10,90,876",73.6 %,"74,686",6.8%
Tikamgarh,,,,,,,,,,,,506.0,6.0,SC,Madhya Pradesh [2000 Onwards],Virendra Kumar,Bharatiya Janta Party,1209553.0,525441.0,43.4 %,41862.0,8.0%,506.0,6.0,SC,Madhya Pradesh [2000 Onwards],Dr. Virendra Kumar,Bharatiya Janta Party,1529003.0,766321.0,50.1 %,208731.0,27.2%,505.0,6.0,SC,Madhya Pradesh [2000 Onwards],Dr Virendra Kumar,Bharatiya Janta Party,"17,17,393","10,96,712",64.5 %,"3,48,059",31.7%,506.0,6.0,SC,Madhya Pradesh [2000 Onwards],Dr. Virendra Kumar,Bharatiya Janta Party,"18,26,585","10,98,390",60.1 %,"4,03,312",36.7%
Tindivanam,512.0,10.0,GEN,Tamil Nadu,Dhanaraju. K,Pattali Makkal Katchi,"11,58,938","7,27,774",62.8 %,"91,164",12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiruchendur,513.0,38.0,GEN,Tamil Nadu,Radhika Selvi. V,Dravida Munetra Kazhagam,"10,31,560","6,28,693",61.0 %,"1,81,681",28.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiruchengode,514.0,17.0,GEN,Tamil Nadu,Subbulakshmi Jagadeesan,Dravida Munetra Kazhagam,"14,43,197","8,62,183",59.7 %,"1,79,397",20.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirunelveli,516.0,36.0,GEN,Tamil Nadu,"Dhanuskodi Athithan, R.",Indian National Congress,"10,86,290","6,31,284",58.1 %,"1,67,075",26.5%,508.0,38.0,GEN,Tamil Nadu,Ramasubbu S,Indian National Congress,1059687.0,701402.0,66.2 %,21303.0,3.0%,508.0,38.0,GEN,Tamil Nadu,Prabakaran.K.R.P,All India Anna Dravida Munnetra Kazhagam,1420435.0,962330.0,67.8 %,126099.0,13.1%,507.0,38.0,GEN,Tamil Nadu,Gnanathiraviam S,Dravida Munetra Kazhagam,"15,26,692","10,39,761",68.8 %,"1,85,457",17.8%,508.0,38.0,GEN,Tamil Nadu,Robert Bruce C,Indian National Congress,"16,54,503","10,67,448",64.5 %,"1,65,620",15.5%
Tirupathi,517.0,20.0,SC,Andhra Pradesh,Chinta Mohan,Indian National Congress,"12,15,573","8,48,995",69.8 %,"1,99,328",23.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirupati,,,,,,,,,,,,509.0,40.0,SC,Andhra Pradesh,Chinta Mohan,Indian National Congress,1464896.0,1064727.0,72.7 %,19276.0,1.8%,509.0,40.0,SC,Andhra Pradesh [2014 Onwards],Varaprasad Rao Velagapalli,Yuvajana Sramika Rythu Congress Party,1574544.0,1213064.0,77.0 %,37425.0,3.1%,508.0,23.0,,Andhra Pradesh [2014 Onwards],Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,"15,09,361","13,13,515",88.7 %,"2,28,376",17.4%,509.0,23.0,SC,Andhra Pradesh [2014 Onwards],Gurumoorthy Maddila,Yuvajana Sramika Rythu Congress Party,"17,29,832","13,82,570",79.9 %,"14,569",1.1%
Tiruppattur,518.0,8.0,GEN,Tamil Nadu,"Venugopal, D.",Dravida Munetra Kazhagam,"12,13,662","7,74,387",63.8 %,"1,80,902",23.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiruppur,,,,,,,,,,,,510.0,18.0,GEN,Tamil Nadu,Sivasami C,All India Anna Dravida Munnetra Kazhagam,993758.0,742273.0,74.7 %,85346.0,11.5%,510.0,18.0,GEN,Tamil Nadu,V.Sathyabama,All India Anna Dravida Munnetra Kazhagam,1375589.0,1050190.0,76.3 %,179315.0,17.1%,509.0,18.0,GEN,Tamil Nadu,"Subbarayan, K.",Communist Party Of India,"14,90,562","11,19,584",76.6 %,"93,368",8.3%,510.0,18.0,GEN,Tamil Nadu,"Subbarayan, K.",Communist Party Of India,"16,08,521","11,42,549",71.0 %,"1,25,928",11.0%
Tiruvannamalai,,,,,,,,,,,,511.0,11.0,GEN,Tamil Nadu,Venugopal.D,Dravida Munetra Kazhagam,1052587.0,842279.0,80.0 %,148300.0,17.6%,511.0,11.0,GEN,Tamil Nadu,Vanaroja R,All India Anna Dravida Munnetra Kazhagam,1352966.0,1067447.0,78.9 %,168606.0,15.8%,510.0,11.0,GEN,Tamil Nadu,Annadurai C N,Dravida Munetra Kazhagam,"14,31,287","11,51,729",81.3 %,"3,04,187",26.4%,511.0,11.0,GEN,Tamil Nadu,"Annadurai, C.N.",Dravida Munnetra Kazhagam,"15,33,099","11,46,273",74.7 %,"2,33,931",20.4%
Trichur,520.0,9.0,SC,Kerala,C. K. Chandrappan,Communist Party Of India,"9,90,733","6,86,108",69.3 %,"45,961",6.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura East,521.0,2.0,ST,Tripura,Baju Ban Riyan,Communist Party Of India (MARXIST),"9,36,626","6,19,546",66.2 %,"3,10,736",50.2%,513.0,2.0,ST,Tripura,Baju Ban Riyan,Communist Party Of India (MARXIST),988466.0,824246.0,83.4 %,295581.0,35.9%,513.0,2.0,ST,Tripura,Jitendra Choudhury,Communist Party Of India (MARXIST),1140269.0,951110.0,83.4 %,484358.0,50.9%,512.0,2.0,ST,Tripura,Rebati Tripura,Bharatiya Janta Party,"11,73,233","10,45,417",90.1 %,"2,04,290",19.5%,513.0,2.0,ST,Tripura,Kriti Devi Debbarman,Bharatiya Janta Party,"13,96,761","11,34,345",81.2 %,"4,86,819",42.9%
Tripura West,522.0,1.0,GEN,Tripura,Khagen Das,Communist Party Of India (MARXIST),"10,41,596","6,99,397",67.2 %,"3,84,636",55.0%,514.0,1.0,GEN,Tripura,Khagen Das,Communist Party Of India (MARXIST),1093799.0,941508.0,86.1 %,248549.0,26.4%,514.0,1.0,GEN,Tripura,Sankar Prasad Datta,Communist Party Of India (MARXIST),1248550.0,1072749.0,85.9 %,503486.0,46.9%,513.0,1.0,GEN,Tripura,Pratima Bhoumik,Bharatiya Janta Party,"12,85,794","11,07,755",87.1 %,"3,05,689",27.6%,514.0,1.0,GEN,Tripura,Biplab Kumar Deb,Bharatiya Janta Party,"14,63,526","12,09,809",82.7 %,"6,11,578",50.6%
Trivandrum,523.0,20.0,GEN,Kerala,P. K. Vasudevan Nair,Communist Party Of India,"11,12,571","7,61,488",68.4 %,"54,603",7.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tumkur,524.0,8.0,GEN,Karnataka,S. Mallikarjunaiah,Bharatiya Janta Party,"12,21,507","8,62,673",70.6 %,"2,351",0.3%,515.0,19.0,GEN,Karnataka,G.S. Basavaraj,Bharatiya Janta Party,1388773.0,899917.0,64.8 %,21445.0,2.4%,515.0,19.0,GEN,Karnataka,Muddahanumegowda.S.P.,Indian National Congress,1518518.0,1101484.0,72.5 %,74041.0,6.7%,514.0,19.0,GEN,Karnataka,G. S. Basavaraj,Bharatiya Janta Party,"15,84,884","12,44,858",79.2 %,"13,339",1.1%,515.0,19.0,GEN,Karnataka,V. Somanna,Bharatiya Janta Party,"16,61,309","13,03,451",78.5 %,"1,75,594",13.5%
Tura,525.0,2.0,ST,Meghalaya,Purano Agitok Sangma,All India Trinamool Congress,"5,04,312","3,11,502",61.8 %,"72,763",23.4%,516.0,2.0,ST,Meghalaya,Agatha K. Sangma,Nationalist Congress Party,505774.0,342205.0,67.7 %,17945.0,5.2%,516.0,2.0,ST,Meghalaya,Purno Agitok Sangma,National People's Party,586501.0,458071.0,78.1 %,39716.0,8.7%,515.0,2.0,ST,Meghalaya,Agatha K. Sangma,National People's Party,"6,92,353","5,83,041",85.1 %,"64,030",11.0%,516.0,2.0,ST,Meghalaya,Saleng A Sangma,Indian National Congress,"8,26,156","6,74,056",81.6 %,"1,55,241",23.0%
Udaipur,526.0,18.0,GEN,Rajasthan,Kiran Maheshwari,Bharatiya Janta Party,"13,63,337","7,58,166",55.6 %,"74,875",9.9%,517.0,19.0,ST,Rajasthan,Raghuvir Singh Meena,Indian National Congress,1564137.0,758687.0,48.5 %,164925.0,21.7%,517.0,19.0,ST,Rajasthan,Arjunlal Meena,Bharatiya Janta Party,1817940.0,1193202.0,65.6 %,236762.0,19.8%,516.0,19.0,ST,Rajasthan,Arjunlal Meena,Bharatiya Janta Party,"20,08,400","14,54,518",73.8 %,"4,37,914",30.1%,517.0,19.0,ST,Rajasthan,Manna Lal Rawat,Bharatiya Janta Party,"22,30,971","14,98,376",67.2 %,"2,61,608",17.5%
Udhampur,527.0,5.0,GEN,Jammu & Kashmir,Ch. Lal Singh,Indian National Congress,"13,48,721","6,07,945",45.1 %,"47,175",7.8%,518.0,5.0,GEN,Jammu & Kashmir,Ch. Lal Singh,Indian National Congress,1363060.0,611779.0,44.9 %,13394.0,2.2%,518.0,5.0,GEN,Jammu & Kashmir,Dr. Jitendra Singh,Bharatiya Janta Party,1490244.0,1041758.0,69.9 %,60976.0,5.9%,517.0,5.0,,Jammu & Kashmir,Dr. Jitendra Singh,Bharatiya Janta Party,"14,90,244","11,80,123",79.7 %,"3,57,252",30.3%,518.0,4.0,,Jammu & Kashmir,Dr Jitendra Singh,Bharatiya Janta Party,"16,23,195","11,13,727",68.6 %,"1,24,373",11.2%
Udupi,528.0,18.0,SC,Karnataka,Manorama Madhwaraj,Bharatiya Janta Party,"11,38,398","7,78,545",68.4 %,"29,003",3.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ujiarpur,,,,,,,,,,,,520.0,22.0,GEN,Bihar [2000 Onwards],Aswamedh Devi,Janata Dal (United),1229327.0,564247.0,45.9 %,25312.0,4.5%,520.0,22.0,GEN,Bihar [2000 Onwards],Nityanand Rai,Bharatiya Janta Party,1428445.0,858920.0,60.1 %,60469.0,7.0%,519.0,22.0,GEN,Bihar [2000 Onwards],Nityanand Rai,Bharatiya Janta Party,"15,88,209","9,69,284",61.9 %,"2,77,278",28.6%,520.0,22.0,GEN,Bihar [2000 Onwards],Nityanand Rai,Bharatiya Janta Party,"17,45,408","10,42,068",59.7 %,"60,102",5.8%
Ujjain,529.0,27.0,ST,Madhya Pradesh [2000 Onwards],Dr. Satyanarayan Jatiya,Bharatiya Janta Party,"12,43,447","7,19,800",57.9 %,"70,403",9.8%,521.0,22.0,SC,Madhya Pradesh [2000 Onwards],Guddu Premchand,Indian National Congress,1253686.0,667635.0,53.3 %,15841.0,2.4%,521.0,22.0,SC,Madhya Pradesh [2000 Onwards],Prof. Chintamani Malviya,Bharatiya Janta Party,1525481.0,1016405.0,66.6 %,309663.0,30.5%,520.0,22.0,SC,Madhya Pradesh [2000 Onwards],Anil Firojiya,Bharatiya Janta Party,"16,24,122","12,52,511",77.8 %,"3,65,637",29.2%,521.0,22.0,SC,Madhya Pradesh [2000 Onwards],Anil Firojiya,Bharatiya Janta Party,"17,98,704","13,28,580",73.7 %,"3,75,860",28.3%
Uluberia,530.0,25.0,GEN,West Bengal,Hannan Mollah,Communist Party Of India (MARXIST),"11,29,673","8,49,086",75.2 %,"1,52,115",17.9%,522.0,26.0,GEN,West Bengal,Sultan Ahmed,All India Trinamool Congress,1251590.0,1009905.0,80.7 %,98936.0,9.8%,522.0,26.0,GEN,West Bengal,Sultan Ahmed,All India Trinamool Congress,1448632.0,1186027.0,81.9 %,201222.0,17.0%,521.0,26.0,GEN,West Bengal,Sajda Ahmed,All India Trinamool Congress,"17,75,607","13,11,099",74.4 %,"2,15,359",16.4%,522.0,26.0,GEN,West Bengal,Sajda Ahmed,All India Trinamool Congress,"17,41,438","13,90,794",79.9 %,"2,18,673",15.7%
Unnao,531.0,18.0,SC,Uttar Pradesh [2000 Onwards],Brajesh Pathak,Bahujan Samaj Party,"13,03,203","5,47,514",42.0 %,"17,761",3.2%,523.0,33.0,GEN,Uttar Pradesh [2000 Onwards],Annutandon,Indian National Congress,1818980.0,904542.0,49.7 %,302092.0,33.4%,523.0,33.0,GEN,Uttar Pradesh [2000 Onwards],Swami Sachchidanand Hari Sakshi,Bharatiya Janta Party,2164392.0,1201603.0,55.5 %,310173.0,25.8%,522.0,33.0,GEN,Uttar Pradesh [2000 Onwards],Swami Sakshi Ji Maharaj,Bharatiya Janta Party,"21,60,607","12,37,076",57.8 %,"4,00,956",32.4%,523.0,33.0,GEN,Uttar Pradesh [2000 Onwards],Swami Sachchidanand Hari Sakshi,Bharatiya Janta Party,"23,41,740","13,02,271",55.6 %,"35,818",2.8%
Uttara Kannada,,,,,,,,,,,,524.0,12.0,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1286556.0,760547.0,59.1 %,22769.0,3.0%,524.0,12.0,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1450599.0,1001038.0,69.0 %,140700.0,14.1%,523.0,12.0,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,"15,35,047","11,53,480",76.2 %,"4,79,649",41.6%,524.0,12.0,GEN,Karnataka,Vishweshwar Hegde Kageri,Bharatiya Janta Party,"16,41,156","12,62,761",76.9 %,"3,37,428",26.7%
Vadakara,,,,,,,,,,,,525.0,3.0,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,1071171.0,866349.0,80.9 %,56186.0,6.5%,525.0,3.0,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,1182504.0,959342.0,81.1 %,3306.0,0.3%,524.0,3.0,GEN,Kerala,K. Muraleedharan,Indian National Congress,"12,07,556","10,65,619",88.5 %,"84,663",7.9%,525.0,3.0,GEN,Kerala,Shafi Parambil,Indian National Congress,"14,21,883","11,22,947",79.0 %,"1,14,506",10.2%
Vadodara,,,,,,,,,,,,526.0,20.0,GEN,Gujarat,Balkrishna Khanderao Shukla (Balu Shukla),Bharatiya Janta Party,1524060.0,747196.0,49.0 %,136028.0,18.2%,526.0,20.0,GEN,Gujarat,Narendra Modi,Bharatiya Janta Party,1638321.0,1161577.0,70.9 %,570128.0,49.1%,525.0,20.0,GEN,Gujarat,Ranjanben Bhatt,Bharatiya Janta Party,"17,07,484","12,22,348",72.6 %,"5,89,177",48.2%,526.0,20.0,GEN,Gujarat,Dr. Hemang Joshi,Bharatiya Janta Party,"19,49,573","12,12,149",62.2 %,"5,82,126",48.0%
Vaishali,532.0,9.0,GEN,Bihar [2000 Onwards],Raghubansh Prasad Singh,Rashtriya Janata Dal,"11,97,345","7,48,681",62.5 %,"1,05,935",14.1%,527.0,16.0,GEN,Bihar [2000 Onwards],Raghuvansh Prasad Singh,Rashtriya Janata Dal,1278891.0,624863.0,48.9 %,22308.0,3.6%,527.0,16.0,GEN,Bihar [2000 Onwards],Rama Kishore Singh,Lok Jan Shakti Party,1587202.0,925937.0,58.3 %,99267.0,10.7%,526.0,16.0,GEN,Bihar [2000 Onwards],Veena Devi (W/o Dinesh Prasad Singh),Lok Jan Shakti Party,"17,21,658","10,74,730",63.0 %,"2,34,584",21.8%,527.0,16.0,GEN,Bihar [2000 Onwards],Veena Devi,Lok Janshakti Party(Ram Vilas),"18,69,178","11,72,060",62.7 %,"89,634",7.6%
Valmiki Nagar,,,,,,,,,,,,528.0,1.0,GEN,Bihar [2000 Onwards],Baidyanath Prasad Mahto,Janata Dal (United),1275653.0,598456.0,46.9 %,183675.0,30.7%,528.0,1.0,GEN,Bihar [2000 Onwards],Satish Chandra Dubey,Bharatiya Janta Party,1456576.0,900114.0,61.8 %,117793.0,13.1%,527.0,1.0,GEN,Bihar [2000 Onwards],Baidyanath Prasad Mahto,Janata Dal (United),"16,41,701","10,32,090",65.0 %,"3,54,616",34.4%,528.0,1.0,GEN,Bihar [2000 Onwards],Sunil Kumar,Janata Dal (United),"18,27,281","11,01,830",60.3 %,"98,675",9.0%
Valsad,,,,,,,,,,,,529.0,26.0,ST,Gujarat,Kishanbhai Vestabhai Patel,Indian National Congress,1380245.0,774452.0,56.1 %,7169.0,0.9%,529.0,26.0,ST,Gujarat,Dr. K.C.Patel,Bharatiya Janta Party,1512061.0,1122203.0,74.2 %,208004.0,18.5%,528.0,26.0,ST,Gujarat,Dr.K.C.Patel,Bharatiya Janta Party,"16,28,352","12,60,377",78.6 %,"3,53,797",28.1%,529.0,26.0,ST,Gujarat,Dhaval Laxmanbhai Patel,Bharatiya Janta Party,"18,59,974","13,61,411",73.2 %,"2,10,704",15.5%
Vandavasi,533.0,9.0,GEN,Tamil Nadu,"Ramachandran Gingee, N.",Marumalarchi Dravida Munnetra Kazhagam,"11,28,624","7,01,659",62.2 %,"1,51,433",21.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varanasi,534.0,48.0,GEN,Uttar Pradesh [2000 Onwards],Dr. Rajesh Kumar Mishra,Indian National Congress,"14,87,696","6,33,729",42.6 %,"57,436",9.1%,530.0,77.0,GEN,Uttar Pradesh [2000 Onwards],Dr. Murli Manohar Joshi,Bharatiya Janta Party,1561854.0,665719.0,42.6 %,17211.0,2.6%,530.0,77.0,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,1767486.0,1030685.0,58.3 %,371784.0,36.1%,529.0,77.0,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,"17,84,093","10,60,476",59.7 %,"4,79,505",45.2%,530.0,77.0,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,"19,97,578","11,30,143",56.6 %,"1,52,513",13.5%
Vellore,535.0,7.0,GEN,Tamil Nadu,"Kader Mohideen, K. M",Dravida Munetra Kazhagam,"12,20,454","7,45,806",61.1 %,"1,78,610",23.9%,531.0,8.0,GEN,Tamil Nadu,Abdul Rahman,Dravida Munetra Kazhagam,1010067.0,723658.0,71.6 %,107393.0,14.8%,531.0,8.0,GEN,Tamil Nadu,Senguttuvan B.,All India Anna Dravida Munnetra Kazhagam,1312251.0,974770.0,74.3 %,59393.0,6.1%,,,,,,,,,,,,531.0,8.0,GEN,Tamil Nadu,Dm Kathir Anand,Dravida Munnetra Kazhagam,"15,28,273","11,29,458",73.9 %,"2,15,702",19.1%
Vidisha,536.0,20.0,GEN,Madhya Pradesh [2000 Onwards],Shivraj Singh Chauhan,Bharatiya Janta Party,"13,13,048","6,56,181",50.0 %,"2,60,726",39.7%,532.0,18.0,GEN,Madhya Pradesh [2000 Onwards],Sushma Swaraj,Bharatiya Janta Party,1233394.0,556170.0,45.1 %,389844.0,70.1%,532.0,18.0,GEN,Madhya Pradesh [2000 Onwards],Sushma Swaraj,Bharatiya Janta Party,1634370.0,1073473.0,65.7 %,410698.0,38.3%,530.0,18.0,GEN,Madhya Pradesh [2000 Onwards],Ramakant Bhargava,Bharatiya Janta Party,"17,00,678","12,50,244",74.0 %,"5,03,084",40.2%,532.0,18.0,GEN,Madhya Pradesh [2000 Onwards],Shivraj Singh Chouhan,Bharatiya Janta Party,"19,45,404","14,55,658",74.8 %,"8,21,408",56.4%
Vijayawada,537.0,13.0,GEN,Andhra Pradesh,Rajagopal Lagadapati,Indian National Congress,"14,64,657","9,43,766",64.4 %,"1,14,587",12.1%,533.0,29.0,GEN,Andhra Pradesh,Lagadapati Raja Gopal,Indian National Congress,1402315.0,1092063.0,77.9 %,12712.0,1.2%,533.0,29.0,GEN,Andhra Pradesh [2014 Onwards],Kesineni Srinivas,Telugu Desam,1564513.0,1195075.0,76.4 %,74862.0,6.3%,531.0,12.0,,Andhra Pradesh [2014 Onwards],Kesineni Srinivas (NANI),Telugu Desam,"13,62,762","12,77,711",94.4 %,"8,726",0.7%,533.0,12.0,,Andhra Pradesh [2014 Onwards],Kesineni Sivanath (CHINNI),Telugu Desam,"17,04,077","13,64,405",80.1 %,"2,82,085",20.7%
Viluppuram,,,,,,,,,,,,534.0,13.0,SC,Tamil Nadu,Anandan M,All India Anna Dravida Munnetra Kazhagam,1068171.0,796914.0,74.6 %,2797.0,0.4%,534.0,13.0,SC,Tamil Nadu,Rajendran S,All India Anna Dravida Munnetra Kazhagam,1387007.0,1067641.0,77.0 %,193367.0,18.1%,532.0,13.0,SC,Tamil Nadu,Ravikumar D,Dravida Munetra Kazhagam,"14,00,389","11,35,540",81.9 %,"1,28,068",11.3%,534.0,13.0,SC,Tamil Nadu,Ravikumar. D,Viduthalai Chiruthaigal Katchi,"15,03,115","11,52,667",76.7 %,"70,703",6.1%
Virudhunagar,,,,,,,,,,,,535.0,34.0,GEN,Tamil Nadu,Manicka Tagore,Indian National Congress,992051.0,768609.0,77.5 %,15764.0,2.1%,535.0,34.0,GEN,Tamil Nadu,Radhakrishnan T,All India Anna Dravida Munnetra Kazhagam,1350495.0,1010930.0,74.9 %,145551.0,14.4%,533.0,34.0,GEN,Tamil Nadu,"Manickam Tagore, B.",Indian National Congress,"14,61,240","10,74,735",74.7 %,"1,54,554",14.4%,535.0,34.0,GEN,Tamil Nadu,Manickam Tagore B,Indian National Congress,"15,01,942","10,61,901",70.7 %,"4,379",0.4%
Visakhapatnam,538.0,4.0,GEN,Andhra Pradesh,Janardhana Reddy Nedurumalli,Indian National Congress,"15,15,574","9,65,735",63.7 %,"1,30,571",13.5%,536.0,21.0,GEN,Andhra Pradesh,Daggubati Purandeswari,Indian National Congress,1387482.0,1013929.0,73.1 %,66686.0,6.6%,536.0,21.0,GEN,Andhra Pradesh [2014 Onwards],Kambhampati Hari Babu,Bharatiya Janta Party,1723037.0,1163558.0,67.5 %,90488.0,7.8%,534.0,4.0,,Andhra Pradesh [2014 Onwards],M V V Satyanarayana,Yuvajana Sramika Rythu Congress Party,"15,34,088","12,39,754",81.9 %,"4,414",0.4%,536.0,4.0,,Andhra Pradesh [2014 Onwards],Sribharat Mathukumili,Telugu Desam,"19,27,303","13,87,125",72.0 %,"5,04,247",36.4%
Vishnupur,539.0,36.0,GEN,West Bengal,Susmita Bauri,Communist Party Of India (MARXIST),"10,52,852","8,03,360",76.3 %,"3,31,829",41.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vizianagaram,,,,,,,,,,,,537.0,20.0,GEN,Andhra Pradesh,Jhansi Lakshmi Botcha,Indian National Congress,1323238.0,1024364.0,77.4 %,60571.0,5.9%,537.0,20.0,GEN,Andhra Pradesh [2014 Onwards],Ashok Gajapathi Raju Pusapati,Telugu Desam,1404127.0,1120316.0,79.8 %,106911.0,9.5%,535.0,3.0,,Andhra Pradesh [2014 Onwards],Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,"13,80,455","12,17,890",90.4 %,"48,036",3.9%,537.0,3.0,,Andhra Pradesh [2014 Onwards],Appalanaidu Kalisetti,Telugu Desam,"15,85,206","12,99,242",82.0 %,"2,49,351",19.2%
Warangal,540.0,39.0,GEN,Andhra Pradesh,Dharavath  Ravinder Naik,Telangana Rashtra Samithi,"12,15,167","9,21,516",75.8 %,"19,262",2.1%,538.0,15.0,SC,Andhra Pradesh,Rajaiah Siricilla,Indian National Congress,1486617.0,1031522.0,69.4 %,124661.0,12.1%,538.0,15.0,SC,Telangana,Kadiyam Srihari,Telangana Rashtra Samithi,1537781.0,1174631.0,76.4 %,392574.0,33.4%,536.0,15.0,SC,Telangana,Dayakar Pasunoori,Telangana Rashtra Samithi,"15,78,335","10,61,645",68.5 %,"3,50,298",33.0%,538.0,15.0,SC,Telangana,Kadiyam Kavya,Indian National Congress,"18,24,466","12,67,946",69.5 %,"2,20,339",17.4%
